Release;File;Size;LocTouched;LocAdded;MaxLocAdded;AvgLocAdded;Nauth;Nfix;Nr;ChgSetSize;Buggy
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;45;62;62;62;62.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;36;60;59;58;29.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;21;101;96;91;48.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;5;29;28;27;14.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;47;81;79;77;39.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;456;780;742;703;247.33;2;0;3;468;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;18;71;67;63;33.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;20;37;37;37;37.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;35;66;65;64;32.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;105;130;127;124;63.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;137;174;167;159;41.75;2;0;4;495;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;15;46;41;36;20.50;2;0;2;376;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;40;62;60;57;30.00;2;0;2;298;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;45;62;62;62;62.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;98;154;142;129;35.50;2;0;4;495;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;53;78;76;73;38.00;2;0;2;298;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;66;89;86;82;28.67;2;0;3;468;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;54;74;74;74;74.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java;20;52;50;48;25.00;2;0;2;233;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java;33;62;61;60;30.50;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java;45;82;76;70;25.33;2;0;3;403;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java;157;221;202;180;50.50;2;0;4;495;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java;33;53;53;53;53.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java;371;492;472;450;118.00;2;1;4;468;Yes
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java;22;39;39;39;39.00;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java;55;86;82;78;41.00;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java;38;66;65;64;32.50;2;0;2;376;Yes
